Format Version,1.0,
Take Name,trial2-subject1-070220_001,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
61,0.610000,61,8.797363,-4.614990,-26.552734,1.589844,-0.749359,-3.397339,-0.028222,-0.059875,0.000000
62,0.620000,62,8.219727,-4.748535,-26.931641,1.662842,-0.694916,-3.851318,-0.025803,-0.061743,0.000000
63,0.630000,63,6.826660,-4.280273,-27.442383,1.559631,-0.661804,-3.431152,-0.024116,-0.056833,0.000000
64,0.640000,64,7.617188,-4.020020,-26.809570,1.483276,-0.733276,-3.867920,-0.027351,-0.055326,0.000000
65,0.650000,65,7.885254,-4.632080,-26.673828,1.521240,-0.751373,-3.565552,-0.028169,-0.057031,0.000000
66,0.660000,66,7.281250,-4.119141,-26.678711,1.554993,-0.694946,-3.784058,-0.026049,-0.058286,0.000000
67,0.670000,67,6.978027,-4.370117,-27.442383,1.515625,-0.825317,-4.103271,-0.030075,-0.055229,0.000000
68,0.680000,68,7.032959,-4.833008,-26.921875,1.618835,-0.776459,-3.800903,-0.028841,-0.060131,0.000000
69,0.690000,69,7.248291,-4.673828,-27.182617,1.476624,-0.674652,-4.288330,-0.024819,-0.054322,0.000000
70,0.700000,70,7.220703,-3.935913,-26.424805,1.550354,-0.767334,-4.305176,-0.029038,-0.058670,0.000000
